taxid,name
46125,Abiotrophia defectiva
592010,Abiotrophia defectiva ATCC 49176
2755338,Aceticella autotrophica
720554,Acetivibrio clariflavus DSM 19732
1677857,Acetivibrio saccincola
2184575,Acetobacterium sp. KB-1
52694,Acetobacterium wieringae
264636,Acholeplasma hippikon
909930,Acidaminococcaceae
904,Acidaminococcus
591001,Acidaminococcus fermentans DSM 20731
187327,Acidaminococcus intestini
568816,Acidaminococcus intestini RyC-MR95
1561005,Acididesulfobacillus acetoxydans
2507161,Acidilutibacter cellobiosedens
57723,Acidobacteriota
469,Acinetobacter
1530123,Acinetobacter seifertii
2953738,Acinetobacter sp. Z1
108980,Acinetobacter ursingii
254839,Actinobacillus genomosp. 1
1993,Actinomadura madurae
1654,Actinomyces
1655,Actinomyces naeslundii
544580,Actinomyces oris
1852377,Actinomyces pacaensis
2789425,Actinomyces sp. HMT 175
706439,Actinomyces sp. oral taxon 171 str. F0337
2049,Actinomycetaceae
1760,Actinomycetes
201174,Actinomycetota
2866162,Actomonas aquatica
1796620,Acutalibacter muris
3082771,Acutalibacteraceae
447020,Adlercreutzia
2707299,Adlercreutzia hattorii
54006,Aedoeadaptatus ivorii
1055323,Aeribacillus
119206,Aerococcus sanguinicola
2976812,Aerococcus sp. Group 1
642,Aeromonas
645,Aeromonas salmonicida
1636609,Aeromonas sp. ASNIH4
