Label	Category	Name
AAC.2...Ib	Established	AAC(2')-Ib
AAC.2...Ic	Established	AAC(2')-Ic
AAC.2...Id	Established	AAC(2')-Id
AAC.2...Ie	Established	AAC(2')-Ie
AAC.2...IIa	Established	AAC(2')-IIa
AAC.2...IIb	Established	AAC(2')-IIb
AAC.3..Ic	Established	AAC(3)-Ic
AAC.3..IIb	Established	AAC(3)-IIb
AAC.3..IIg	Established	AAC(3)-IIg
AAC.3..IIIa	Established	AAC(3)-IIIa
AAC.3..IIIb	Established	AAC(3)-IIIb
AAC.3..IIIc	Established	AAC(3)-IIIc
AAC.3..VIIa	Established	AAC(3)-VIIa
AAC.6...32	Established	AAC(6')-32
AAC.6...34	Established	AAC(6')-34
AAC.6...I30	Established	AAC(6')-I30
AAC.6...I.43	Established	AAC(6')-I-43
AAC.6...Iad	Established	AAC(6')-Iad
AAC.6...Iae	Established	AAC(6')-Iae
AAC.6...Iaf	Established	AAC(6')-Iaf
AAC.6...Iai	Established	AAC(6')-Iai
AAC.6...Iaj	Established	AAC(6')-Iaj
AAC.6...Iak	Established	AAC(6')-Iak
AAC.6...Iap	Established	AAC(6')-Iap
AAC.6...Ib7	Established	AAC(6')-Ib7
AAC.6...Ib.SK	Established	AAC(6')-Ib-SK
AAC.6...Ig	Established	AAC(6')-Ig
AAC.6...Ih	Established	AAC(6')-Ih
AAC.6...IIb	Established	AAC(6')-IIb
AAC.6...Iid	Established	AAC(6')-Iid
AAC.6...Ik	Established	AAC(6')-Ik
AAC.6...Im	Established	AAC(6')-Im
AAC.6...Ir	Established	AAC(6')-Ir
AAC.6...Is	Established	AAC(6')-Is
AAC.6...Isa	Established	AAC(6')-Isa
AAC.6...Iw	Established	AAC(6')-Iw
AAC.6...Iz	Established	AAC(6')-Iz
ACC.1a	Established	ACC-1a
ACT.12	Established	ACT-12
ACT.28	Established	ACT-28
ACT.49	Established	ACT-49
ACT.50	Established	ACT-50
ADC.194	Established	ADC-194
ADC.8	Established	ADC-8
ADC.83	Established	ADC-83
AER.1	Established	AER-1
AFM.1	Established	AFM-1
AIM.1	Established	AIM-1
ALG11.1	Established	ALG11-1
ALG6.1	Established	ALG6-1
ALI.1	Established	ALI-1
AMZ.1	Established	AMZ-1
APH.3....Ia	Established	APH(3'')-Ia
APH.3...IIc	Established	APH(3')-IIc
APH.3...IVa	Established	APH(3')-IVa
APH.3...IXa	Established	APH(3')-IXa
APH.3...Vb	Established	APH(3')-Vb
APH.3...VIIIa	Established	APH(3')-VIIIa
APH.3...VIIIb	Established	APH(3')-VIIIb
APH.6..Ia	Established	APH(6)-Ia
APH.6..Ib	Established	APH(6)-Ib
BJP.1	Established	BJP-1
BlaB.12	Established	BlaB-12
BlaB.15	Established	BlaB-15
BlaB.16	Established	BlaB-16
BSU.1	Established	BSU-1
BUT.1	Established	BUT-1
CAE.1	Established	CAE-1
CAM.1	Established	CAM-1
CAR.1	Established	CAR-1
CARB.10	Established	CARB-10
CARB.4	Established	CARB-4
CAU.1	Established	CAU-1
CBP.1	Established	CBP-1
CDA.1	Established	CDA-1
CDD.1	Established	CDD-1
CGA.1	Established	CGA-1
CGB.1	Established	CGB-1
CIA.1	Established	CIA-1
CMA.1	Established	CMA-1
CMH.1	Established	CMH-1
CMY.157	Established	CMY-157
CRD3.1	Established	CRD3-1
CRP.1	Established	CRP-1
Cstr_tetA	Established	Cstr_tetA
CTX.M.100	Established	CTX-M-100
CTX.M.115	Established	CTX-M-115
CTX.M.123	Established	CTX-M-123
CTX.M.151	Established	CTX-M-151
CTX.M.74	Established	CTX-M-74
CTX.M.8	Established	CTX-M-8
DES.1	Established	DES-1
DHA.16	Established	DHA-16
DHT2.1	Established	DHT2-1
DIM.1	Established	DIM-1
EAM.1	Established	EAM-1
EBR.1	Established	EBR-1
EBR.5	Established	EBR-5
ECM.1	Established	ECM-1
ECV.1	Established	ECV-1
EFM.1	Established	EFM-1
ELM.1	Established	ELM-1
Erm.30.	Established	Erm(30)
Erm.31.	Established	Erm(31)
Erm.33.	Established	Erm(33)
Erm.35.	Established	Erm(35)
Erm.36.	Established	Erm(36)
Erm.37.	Established	Erm(37)
Erm.38.	Established	Erm(38)
Erm.39.	Established	Erm(39)
