Sample	Counts
SRR341581	11633511
SRR341582	5757132
SRR341583	5410060
SRR341584	9354012
SRR341585	4784829
SRR341586	6474009
SRR341587	9895172
SRR341588	8954566
SRR341589	4520288
SRR341590	8297733
SRR341591	6197181
SRR341592	8026353
SRR341593	5600669
SRR341594	6153962
SRR341595	4962315
SRR341596	8227726
SRR341597	8816166
SRR341598	8927184
SRR341599	4470441
SRR341600	9777935
SRR341601	6900707
SRR341602	5030863
SRR341603	7134746
SRR341604	8410370
SRR341605	8212285
SRR341606	7086594
SRR341607	11100261
SRR341608	3535870
SRR341609	3622059
SRR341610	9508610
SRR341611	5265704
SRR341612	7682621
SRR341613	7590046
SRR341614	9045868
SRR341615	5994590
SRR341616	9148529
SRR341617	6601744
SRR341618	7029881
SRR341619	3097102
SRR341620	6583650
SRR341621	7604245
SRR341622	9753410
SRR341623	5711260
SRR341624	10136333
SRR341625	4838169
SRR341626	8277587
SRR341627	7706580
SRR341628	8974924
SRR341629	7545057
SRR341630	6138449
SRR341631	6507508
SRR341632	12326125
SRR341633	12151991
SRR341634	5427159
SRR341635	4628715
SRR341636	9494543
SRR341637	5577917
SRR341638	8324152
SRR341639	9467848
SRR341640	12230403
SRR341641	8494253
SRR341642	7507535
SRR341643	6023980
SRR341644	12093128
SRR341645	4222603
SRR341646	8741002
SRR341647	5078833
SRR341648	5662274
SRR341649	7817768
SRR341650	7284553
SRR341651	8488707
SRR341652	7670317
SRR341653	8608907
SRR341654	5754281
SRR341655	11571548
SRR341656	6089540
SRR341657	7981849
SRR341658	9860542
SRR341659	9157092
SRR341660	6727747
SRR341661	6836053
SRR341662	7933442
SRR341663	11936299
SRR341664	10274436
SRR341665	9386121
SRR341666	3293777
SRR341667	4212424
SRR341668	12367931
SRR341669	9014966
SRR341670	8518738
SRR341671	9296895
SRR341672	11512196
SRR341673	10754299
SRR341674	8838293
SRR341675	9988209
SRR341676	11100970
SRR341677	15316595
SRR341678	8666934
SRR341679	8509619
SRR341680	10450093
SRR341681	10959326
SRR341682	11352380
SRR341683	8327846
SRR341684	8065180
SRR341685	10800346
SRR341686	8469516
SRR341687	9824629
SRR341688	9029470
SRR341689	11708843
SRR341690	11657268
SRR341691	8939230
SRR341692	6411750
SRR341693	13164761
SRR341694	5787081
SRR341695	8568234
SRR341696	10355958
SRR341697	11508966
SRR341698	11556853
SRR341699	9339318
SRR341700	7409765
SRR341701	12131427
SRR341702	6642760
SRR341703	11870340
SRR341704	11436043
SRR341705	8223178
SRR341706	9683672
SRR341707	9150131
SRR341708	11850406
SRR341709	9168424
SRR341710	10863528
SRR341711	7819596
SRR341712	11244969
SRR341713	9888364
SRR341714	7614692
SRR341715	8438726
SRR341716	10435234
SRR341717	10840759
SRR341718	8345140
SRR341719	7531298
SRR341720	11533745
SRR341721	5662141
SRR341722	11900158
SRR341723	7966884
SRR341724	12077409
SRR341725	9060003
SRR413556	13259298
SRR413557	4931371
SRR413558	5345953
SRR413559	12634936
SRR413560	6008786
SRR413561	11645139
SRR413562	8833851
SRR413563	9884729
SRR413564	11402213
SRR413565	11611861
SRR413566	13337755
SRR413567	16509481
SRR413568	24759775
SRR413569	8843104
SRR413570	14573642
SRR413571	20260068
SRR413572	15078909
SRR413573	21919636
SRR413574	15478831
SRR413575	10316525
SRR413576	6136575
SRR413577	7503122
SRR413578	10052621
SRR413579	8713339
SRR413580	5064221
SRR413581	6121704
SRR413582	8431966
SRR413583	8617920
SRR413584	5819000
SRR413585	7754020
SRR413586	9625443
SRR413587	9697615
SRR413588	9423559
SRR413589	6515305
SRR413590	6577191
SRR413591	8335640
SRR413592	9208174
SRR413593	7983157
SRR413594	18202644
SRR413595	7016229
SRR413596	8819717
SRR413597	5868083
SRR413598	5401513
SRR413599	7938622
