taxid,name
2976343,Cyanobacterium sp. uoEpiScrs1
2587851,Erythrobacter sp. THAF29
200667,Flammeovirgaceae
2838156,Flavihumibacter rivuli
2818469,Fuscovulum
3075222,Halomonas sp. PAMB 3264
223785,Hydrogenimonas
2761047,Janibacter sp. YB324
504090,Kushneria
2599600,Nitratireductor mangrovi
2518370,Nocardioides euryhalodurans
2895565,Nocardioides sp. B-3
2486272,Nocardioides sp. WS12
3112107,Paludibacterium sp. THUN1379
531813,Pelagibacterium halotolerans
218490,Polaribacter butkevichii
2576928,Polynucleobacter sp. AP-Jannik-300A-C4
158850,Providencia rustigianii
2576839,Pseudarthrobacter sp. NamE5
2895475,Pseudomonas sp. B21-019
2974552,Pseudomonas sp. GCEP-101
2969308,Pseudoxanthomonas sp. JBR18
679318,Rhodococcus sp. WMMA185
2823043,Roseovarius sp. SCSIO 43702
2746932,Shewanella sp. MTB7
1517554,Sphingomonas sp. HMP9
2804617,Sphingomonas sp. LHG3406-1
