qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	scov
AZOR01000068.1	seq7214	99.881	841	1	0	11021	11861	102	942	0.0	1548	942	89.28
AZOR01000068.1	seq4532	100.000	838	0	0	12666	13503	838	1	0.0	1548	1053	79.58
AZOR01000068.1	SEQ23811	99.733	750	2	0	12754	13503	750	1	0.0	1375	798	93.98
AZOR01000068.1	SEQ17183	99.850	667	1	0	12837	13503	667	1	0.0	1227	864	77.20
AZOR01000068.1	seq88	90.205	878	82	3	10986	11861	1	876	0.0	1142	876	100.00
AZOR01000068.1	SEQ19131	90.602	830	74	4	12643	13470	840	13	0.0	1098	840	98.57
AZOR01000111.1	seq5019	99.758	827	2	0	10513	11339	981	155	0.0	1517	1008	82.04
AZOR01000111.1	seq4751	99.878	821	1	0	9684	10504	821	1	0.0	1511	1029	79.79
AZOR01000111.1	SEQ23527	99.861	721	1	0	9784	10504	721	1	0.0	1327	801	90.01
AZOR01000111.1	seq6846	97.984	744	15	0	10504	11247	948	205	0.0	1291	948	78.48
AZOR01000111.1	SEQ21395	99.710	689	1	1	10504	11192	816	129	0.0	1260	816	84.44
AZOR01000111.1	SEQ24653	99.853	679	1	0	9826	10504	679	1	0.0	1249	786	86.39
AZOR01000111.1	SEQ26543	100.000	652	0	0	1102	1753	1	652	0.0	1205	732	89.07
AZOR01000111.1	SEQ24398	99.846	651	1	0	10504	11154	789	139	0.0	1197	789	82.51
AZOR01000111.1	SEQ14815	99.846	650	1	0	10658	11307	650	1	0.0	1195	885	73.45
AZOR01000111.1	SEQ24370	100.000	622	0	0	9668	10289	792	171	0.0	1149	792	78.54
AZOR01000111.1	SEQ26860	100.000	598	0	0	1102	1699	1	598	0.0	1105	705	84.82
AZOR01000111.1	SEQ21973	100.000	585	0	0	10504	11088	813	229	0.0	1081	813	71.96
AZOR01000111.1	SEQ25504	99.633	545	2	0	10791	11335	577	33	0.0	996	768	70.96
AZOR01000111.1	SEQ26883	90.660	621	56	2	1138	1757	76	695	0.0	824	696	89.08
AZOR01000127.1	seq1843	96.908	1132	35	0	5186	6317	153	1284	0.0	1897	1284	88.16
AZOR01000143.1	seq1790	99.917	1199	1	0	1294	2492	1199	1	0.0	2209	1380	86.88
AZOR01000215.1	seq7443	99.878	823	1	0	198	1020	939	117	0.0	1515	939	87.65
AZOR01000215.1	SEQ17479	100.000	747	0	0	327	1073	747	1	0.0	1380	861	86.76
AZOR01000215.1	SEQ26114	100.000	590	0	0	198	787	747	158	0.0	1090	747	78.98
AZOR01000238.1	seq25	100.000	588	0	0	96	683	199	786	0.0	1086	786	74.81
AZOR01000238.1	SEQ26889	99.483	580	3	0	104	683	114	693	0.0	1055	693	83.69
AZOR01000238.1	SEQ26832	100.000	567	0	0	117	683	142	708	0.0	1048	708	80.08
AZOR01000238.1	SEQ27054	99.646	565	2	0	84	648	1	565	0.0	1033	657	86.00
AZOR01000238.1	SEQ26815	95.586	589	24	2	96	683	124	711	0.0	942	711	82.70
AZOR01000238.1	SEQ29077	99.752	403	1	0	84	486	1	403	0.0	739	510	79.02
AZOR01000238.1	SEQ29047	99.752	403	1	0	281	683	111	513	0.0	739	513	78.56
AZOR01000238.1	SEQ28841	99.736	379	1	0	104	482	42	420	0.0	695	528	71.78
AZOR01000238.1	SEQ29150	99.202	376	1	1	97	472	20	393	0.0	676	498	75.50
